timestamp,sample_number,temperature_deg,vcc1_V,vcc2_V,vin_V,frequency,ICC1_A,ICC2_A
13/11/2024 15:38,1,-40,5,5,5,DC,0.002565289,0.001436406
13/11/2024 15:38,1,-40,3.3,3.3,3.3,DC,0.002329379,0.001336374
13/11/2024 15:38,1,-40,2.5,2.5,2.5,DC,0.002314824,0.001291919
13/11/2024 15:38,1,25,5,5,5,DC,0.002566862,0.001436518
13/11/2024 15:38,1,25,3.3,3.3,3.3,DC,0.002329237,0.001336193
13/11/2024 15:38,1,25,2.5,2.5,2.5,DC,0.002313494,0.001292708
13/11/2024 15:38,1,125,5,5,5,DC,0.00256711,0.001436521
13/11/2024 15:38,1,125,3.3,3.3,3.3,DC,0.002328818,0.001336313
13/11/2024 15:38,1,125,2.5,2.5,2.5,DC,0.002313676,0.001292242
,,,,,,,,
13/11/2024 15:38,2,-40,5,5,5,DC,0.002565289,0.001436406
13/11/2024 15:38,2,-40,3.3,3.3,3.3,DC,0.002329379,0.001336374
13/11/2024 15:38,2,-40,2.5,2.5,2.5,DC,0.002314824,0.001291919
13/11/2024 15:38,2,25,5,5,5,DC,0.002566862,0.001436518
13/11/2024 15:38,2,25,3.3,3.3,3.3,DC,0.002329237,0.001336193
13/11/2024 15:38,2,25,2.5,2.5,2.5,DC,0.002313494,0.001292708
13/11/2024 15:38,2,125,5,5,5,DC,0.00256711,0.001436521
13/11/2024 15:38,2,125,3.3,3.3,3.3,DC,0.002328818,0.001336313
13/11/2024 15:38,2,125,2.5,2.5,2.5,DC,0.002313676,0.001292242
,,,,,,,,
13/11/2024 16:43,1,-40,5,5,5,500KHz,0.002107923,0.001500843
13/11/2024 16:43,1,-40,3.3,3.3,3.3,500KHz,0.002081821,0.001375683
13/11/2024 16:43,1,-40,2.5,2.5,2.5,500KHz,0.002070363,0.001318683
13/11/2024 16:43,1,-40,5,5,5,5MHz,0.002115589,0.002341654
13/11/2024 16:43,1,-40,3.3,3.3,3.3,5MHz,0.002063497,0.001935844
13/11/2024 16:43,1,-40,2.5,2.5,2.5,5MHz,0.002035969,0.001742922
13/11/2024 16:43,1,-40,5,5,5,50MHz,0.002757846,0.01063099
13/11/2024 16:43,1,-40,3.3,3.3,3.3,50MHz,0.002478536,0.007451786
13/11/2024 16:44,1,-40,2.5,2.5,2.5,50MHz,0.002315285,0.005927205
13/11/2024 16:44,1,25,5,5,5,500KHz,0.002108139,0.001501662
13/11/2024 16:44,1,25,3.3,3.3,3.3,500KHz,0.002081542,0.001376224
13/11/2024 16:44,1,25,2.5,2.5,2.5,500KHz,0.002070276,0.001319254
13/11/2024 16:44,1,25,5,5,5,5MHz,0.002115657,0.002341902
13/11/2024 16:44,1,25,3.3,3.3,3.3,5MHz,0.002063433,0.001935685
13/11/2024 16:44,1,25,2.5,2.5,2.5,5MHz,0.002036043,0.001743228
13/11/2024 16:44,1,25,5,5,5,50MHz,0.002757662,0.01063139
13/11/2024 16:44,1,25,3.3,3.3,3.3,50MHz,0.002478191,0.007451951
13/11/2024 16:44,1,25,2.5,2.5,2.5,50MHz,0.002315259,0.005926717
13/11/2024 16:44,1,125,5,5,5,500KHz,0.002107745,0.001502032
13/11/2024 16:44,1,125,3.3,3.3,3.3,500KHz,0.002081275,0.001376816
13/11/2024 16:45,1,125,2.5,2.5,2.5,500KHz,0.002070272,0.001319556
13/11/2024 16:45,1,125,5,5,5,5MHz,0.002115199,0.002342984
13/11/2024 16:45,1,125,3.3,3.3,3.3,5MHz,0.002062971,0.001936067
13/11/2024 16:45,1,125,2.5,2.5,2.5,5MHz,0.002035783,0.00174351
13/11/2024 16:45,1,125,5,5,5,50MHz,0.002757635,0.01063165
13/11/2024 16:45,1,125,3.3,3.3,3.3,50MHz,0.002478935,0.007452006
13/11/2024 16:45,1,125,2.5,2.5,2.5,50MHz,0.002315845,0.005927674
,,,,,,,,
13/11/2024 16:43,2,-40,5,5,5,500KHz,0.002107923,0.001500843
13/11/2024 16:43,2,-40,3.3,3.3,3.3,500KHz,0.002081821,0.001375683
13/11/2024 16:43,2,-40,2.5,2.5,2.5,500KHz,0.002070363,0.001318683
13/11/2024 16:43,2,-40,5,5,5,5MHz,0.002115589,0.002341654
13/11/2024 16:43,2,-40,3.3,3.3,3.3,5MHz,0.002063497,0.001935844
13/11/2024 16:43,2,-40,2.5,2.5,2.5,5MHz,0.002035969,0.001742922
13/11/2024 16:43,2,-40,5,5,5,50MHz,0.002757846,0.01063099
13/11/2024 16:43,2,-40,3.3,3.3,3.3,50MHz,0.002478536,0.007451786
13/11/2024 16:44,2,-40,2.5,2.5,2.5,50MHz,0.002315285,0.005927205
13/11/2024 16:44,2,25,5,5,5,500KHz,0.002108139,0.001501662
13/11/2024 16:44,2,25,3.3,3.3,3.3,500KHz,0.002081542,0.001376224
13/11/2024 16:44,2,25,2.5,2.5,2.5,500KHz,0.002070276,0.001319254
13/11/2024 16:44,2,25,5,5,5,5MHz,0.002115657,0.002341902
13/11/2024 16:44,2,25,3.3,3.3,3.3,5MHz,0.002063433,0.001935685
13/11/2024 16:44,2,25,2.5,2.5,2.5,5MHz,0.002036043,0.001743228
13/11/2024 16:44,2,25,5,5,5,50MHz,0.002757662,0.01063139
13/11/2024 16:44,2,25,3.3,3.3,3.3,50MHz,0.002478191,0.007451951
13/11/2024 16:44,2,25,2.5,2.5,2.5,50MHz,0.002315259,0.005926717
13/11/2024 16:44,2,125,5,5,5,500KHz,0.002107745,0.001502032
13/11/2024 16:44,2,125,3.3,3.3,3.3,500KHz,0.002081275,0.001376816
13/11/2024 16:45,2,125,2.5,2.5,2.5,500KHz,0.002070272,0.001319556
13/11/2024 16:45,2,125,5,5,5,5MHz,0.002115199,0.002342984
13/11/2024 16:45,2,125,3.3,3.3,3.3,5MHz,0.002062971,0.001936067
13/11/2024 16:45,2,125,2.5,2.5,2.5,5MHz,0.002035783,0.00174351
13/11/2024 16:45,2,125,5,5,5,50MHz,0.002757635,0.01063165
13/11/2024 16:45,2,125,3.3,3.3,3.3,50MHz,0.002478935,0.007452006
13/11/2024 16:45,2,125,2.5,2.5,2.5,50MHz,0.002315845,0.005927674
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13/11/2024 17:09,1,-40,,,3.3,500KHz,0.001376068,0.002103552
13/11/2024 17:09,1,-40,,,3.3,5MHz,0.001935786,0.002087424
13/11/2024 17:09,1,-40,,,3.3,50MHz,0.007450558,0.002499483
13/11/2024 17:09,1,25,,,3.3,500KHz,0.001376787,0.002103242
13/11/2024 17:10,1,25,,,3.3,5MHz,0.001936157,0.002087209
13/11/2024 17:10,1,25,,,3.3,50MHz,0.007450354,0.002499292
13/11/2024 17:10,1,125,,,3.3,500KHz,0.001376784,0.002103275
13/11/2024 17:10,1,125,,,3.3,5MHz,0.001936854,0.002086985
13/11/2024 17:10,1,125,,,3.3,50MHz,0.007451019,0.002499458
13/11/2024 17:16,1,-40,,,3.3,DC,0.001337791,0.003708019
13/11/2024 17:16,1,25,,,3.3,DC,0.001337415,0.003707675
13/11/2024 17:16,1,125,,,3.3,DC,0.001337607,0.003707225
